# ----------------------------------------
# Páginas y pantallas: Ruta de página y clase de pantalla
# Cuenta: My English Spot
# Propiedad:  My English Spot
# ----------------------------------------
# 
# Todos los usuarios
# Fecha de inicio: 20260531
# Fecha de finalización: 20260627
Ruta de página y clase de pantalla,Vistas,Usuarios activos,Vistas por usuario activo,Tiempo de interacción medio por usuario activo,Número de eventos,Eventos clave,Total de ingresos
/clases-ingles-verano.html,6,1,6,154,16,0,0
/,4,4,1,7,15,0,0
/preparacion-first-cambridge.html,3,3,1,3.6666666666666665,11,0,0
