País,Clics,Impresiones,CTR,Posición
España,13,350,3.71%,16.47
Colombia,0,13,0%,30.15
Argentina,0,8,0%,19.88
México,0,8,0%,30.62
Estados Unidos,0,4,0%,29
Chile,0,2,0%,32.5
Brasil,0,1,0%,7
Bolivia,0,1,0%,9
Francia,0,1,0%,10
Reino Unido,0,1,0%,14
Países Bajos,0,1,0%,76
