País,Clics,Impresiones,CTR,Posición
España,1,100,1%,21.53
Colombia,0,10,0%,37
México,0,8,0%,18.5
Estados Unidos,0,5,0%,2
Argentina,0,2,0%,9
Alemania,0,2,0%,11
Italia,0,2,0%,14.5
Chile,0,2,0%,34.5
Cuba,0,1,0%,9
Perú,0,1,0%,9
Reino Unido,0,1,0%,16
Indonesia,0,1,0%,53
Filipinas,0,1,0%,55
