Fecha,Clics,Impresiones,CTR,Posición
2026-06-27,0,22,0%,22.6
2026-06-28,0,16,0%,16.3
2026-06-29,0,9,0%,21.4
2026-06-30,1,20,5%,19.1
2026-07-01,0,30,0%,24
2026-07-02,0,23,0%,21.4
2026-07-03,0,16,0%,25.9
